kepler_name,koi_period,koi_teq,koi_prad,koi_smass,koi_disposition,koi_score,koi_steff,koi_srad,koi_impact
Kepler-53 c,38.5576546,550.0,4.02,1.0260,CONFIRMED,1.0000,5775.00,1.0530,0.911
Kepler-428 b,3.525632539,975.0,11.58,0.8550,CONFIRMED,0.9900,5150.00,0.7930,0.12
,34.84398644,511.0,7.61,0.8400,CANDIDATE,1.0000,5509.00,0.8710,0.934
Kepler-690 b,7.748094239,964.0,5.52,1.1810,CONFIRMED,1.0000,5973.00,1.0850,0.517
Kepler-236 c,23.96793669,329.0,1.8,0.5360,CONFIRMED,1.0000,3747.00,0.5240,0.416
Kepler-236 b,8.29561738,469.0,1.82,0.5360,CONFIRMED,0.9950,3747.00,0.5240,0.888
Kepler-691 b,8.11437482,460.0,2.1,0.5530,CONFIRMED,1.0000,3692.00,0.5170,0.573
,38.036729482,500.0,27.5,1.0510,FALSE POSITIVE,0.0000,5575.00,0.9320,0.501
,4.64090031,1155.0,30.09,0.7860,CANDIDATE,0.0000,6463.00,0.8260,1.28
,3.747838198,1031.0,13.65,0.9260,FALSE POSITIVE,0.0000,5514.00,0.8260,1.121
Kepler-107 e,14.74914825,874.0,2.89,1.1130,CONFIRMED,0.9920,5847.00,1.4020,0.173
Kepler-692 b,21.81295996,639.0,3.38,0.9340,CONFIRMED,1.0000,5601.00,0.9990,0.053
,7.91936937,814.0,10.34,0.8520,FALSE POSITIVE,0.0000,5690.00,0.7760,0.733
,1.028436523,1947.0,72.77,0.9590,CANDIDATE,,6228.00,0.9900,1.5734
Kepler-693 b,15.37562369,600.0,11.01,0.7930,CONFIRMED,1.0000,4986.00,0.8330,0.692
Kepler-237 c,8.10363271,687.0,2.11,0.7330,CONFIRMED,1.0000,4861.00,0.7320,0.047
Kepler-237 b,4.71510843,823.0,1.46,0.7330,CONFIRMED,1.0000,4861.00,0.7320,0.258
Kepler-694 b,6.365839713,914.0,2.44,0.9390,CONFIRMED,1.0000,5776.00,0.8490,0.524
,5.97581754,1047.0,3.86,1.0720,FALSE POSITIVE,0.0370,6108.00,0.9970,0.941
,2.446737317,1261.0,26.25,0.9590,FALSE POSITIVE,0.0000,5764.00,0.8630,1.241
